Newport Quantitative Trading and Investment (https://newportquant.com),,,,,,
Last update,2022/03/22,,,,,
DateBeforeChange,DateAfterChange,Change,Ticker,Name,Sector,Exchange
20130430,20130531,1,MAC,MACERICH REIT,Financials,New York Stock Exchange Inc.
20130430,20130531,1,REGN,REGENERON PHARMACEUTICALS INC,Health Care,NASDAQ
20130430,20130531,-1,CVH,COVENTRY HEALTH CARE INC,Health Care,New York Stock Exchange Inc.
20130430,20130531,-1,DF,DEAN FOODS CO.,Consumer Staples,New York Stock Exchange Inc.
20130430,20130531,-1,PCS,METROPCS COMMUNICATIONS INC.,Telecommunication Services,New York Stock Exchange Inc.
20130328,20130430,1,COV,COVIDIEN,Health Care,New York Stock Exchange Inc.
20130328,20130430,-1,6COP,COVIDIEN,Health Care,Boerse Berlin
20130228,20130328,1,LB,L BRANDS INC,-,New York Stock Exchange Inc.
20130228,20130328,-1,CWGL,CRIMSON WINE GROUP LTD,Consumer Staples,Non-Nms Quotation Service (Nnqs)
20130228,20130328,-1,LTD,LIMITED BRANDS INC.,Consumer Discretionary,New York Stock Exchange Inc.
20130131,20130228,1,CWGL,CRIMSON WINE GROUP LTD,Consumer Staples,Non-Nms Quotation Service (Nnqs)
20130131,20130228,1,PVH,PVH CORP,Consumer Discretionary,New York Stock Exchange Inc.
20130131,20130228,-1,BIG,BIG LOTS INC,Consumer Discretionary,New York Stock Exchange Inc.
20121231,20130131,1,ABBV,ABBVIE INC,Health Care,Nyse Euronext - Euronext Paris
20121231,20130131,1,ACT,ACTAVIS INC.,Health Care,New York Stock Exchange Inc.
20121231,20130131,1,ETN,EATON PLC,Industrials,New York Stock Exchange Inc.
20121231,20130131,-1,3EC,EATON PLC,Industrials,Deutsche Boerse Xetra
20121231,20130131,-1,FII,FEDERATED INVESTORS INC CLASS B,Financials,New York Stock Exchange Inc.
20121231,20130131,-1,WPI,WATSON PHARMACEUTICALS,Health Care,New York Stock Exchange Inc.
20121130,20121231,1,3EC,EATON PLC,Industrials,Deutsche Boerse Xetra
20121130,20121231,1,DG,DOLLAR GENERAL CORP,Consumer Discretionary,New York Stock Exchange Inc.
20121130,20121231,1,DLPH,DELPHI AUTOMOTIVE PLC,Consumer Discretionary,New York Stock Exchange Inc.
20121130,20121231,1,GRMN,GARMIN LTD,Consumer Discretionary,NASDAQ
20121130,20121231,-1,CBE,COOPER INDUSTRIES PLC CL A,Industrials,New York Stock Exchange Inc.
20121130,20121231,-1,ETN,EATON CORP.,Industrials,New York Stock Exchange Inc.
20121130,20121231,-1,RRD,RR DONNELLEY AND SONS,Industrials,New York Stock Exchange Inc.
20121130,20121231,-1,TIE,TITANIUM METALS CORP.,Materials,New York Stock Exchange Inc.
20120928,20121031,1,ADT,ADT CORPORATION,Industrials,New York Stock Exchange Inc.
20120928,20121031,1,KRFT,KRAFT FOODS GROUP INC,Consumer Staples,NASDAQ
20120928,20121031,1,KTF,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Boerse Stuttgart
20120928,20121031,1,PETM,PETSMART INC,Consumer Discretionary,NASDAQ
20120928,20121031,1,PNR,PENTAIR LTD,Industrials,New York Stock Exchange Inc.
20120928,20121031,1,THC1,TENET HEALTHCARE CORP,Health Care,Boerse Berlin
20120928,20121031,-1,ANRZQ,ALPHA NATURAL RESOURCES INC,Energy,Non-Nms Quotation Service (Nnqs)
20120928,20121031,-1,DV,DEVRY EDUCATION GROUP INC,Consumer Discretionary,New York Stock Exchange Inc.
20120928,20121031,-1,KFT,KRAFT FOODS INC A,-,NASDAQ
20120928,20121031,-1,LXK,LEXMARK INTERNATIONAL INC.,Information Technology,New York Stock Exchange Inc.
20120928,20121031,-1,SUN,SUNOCO INC.,-,New York Stock Exchange Inc.
20120928,20121031,-1,THC,TENET HEALTHCARE CORP.,-,New York Stock Exchange Inc.
20120831,20120928,1,LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,New York Stock Exchange Inc.
20120831,20120928,-1,SHLD,SEARS HOLDINGS CORP,Consumer Discretionary,NASDAQ
20120629,20120731,1,ESV,ENSCO PLC CLASS A,Energy,New York Stock Exchange Inc.
20120629,20120731,1,STX,SEAGATE TECHNOLOGY PLC,Information Technology,NASDAQ
20120629,20120731,-1,GR,GOODRICH CORP,Industrials,New York Stock Exchange Inc.
20120629,20120731,-1,PGN,PROGRESS ENERGY INC.,Utilities,New York Stock Exchange Inc.
20120531,20120629,1,LRCX,LAM RESEARCH CORP,Information Technology,NASDAQ
20120531,20120629,1,MNST,MONSTER BEVERAGE CORP,Consumer Staples,NASDAQ
20120531,20120629,-1,KMI WS,KINDER MORGAN EQUITY WARRANTS EXP,Energy,New York Stock Exchange Inc.
20120531,20120629,-1,NVLS,NOVELLUS SYSTEMS INC.,Information Technology,NASDAQ
20120531,20120629,-1,SLE,SARA LEE CORP.,Consumer Staples,New York Stock Exchange Inc.
20120430,20120531,1,6COP,COVIDIEN,Health Care,Boerse Berlin
20120430,20120531,1,ALXN,ALEXION PHARMACEUTICALS INC,Health Care,NASDAQ
20120430,20120531,1,KMI,KINDER MORGAN INC,Energy,New York Stock Exchange Inc.
20120430,20120531,1,KMI WS,KINDER MORGAN EQUITY WARRANTS EXP,Energy,New York Stock Exchange Inc.
20120430,20120531,1,PSX,PHILLIPS,Energy,New York Stock Exchange Inc.
20120430,20120531,-1,COV,COVIDIEN,Health Care,New York Stock Exchange Inc.
20120430,20120531,-1,EP,EL PASO CORP.,Energy,New York Stock Exchange Inc.
20120430,20120531,-1,MMI,MOTOROLA MOBILITY HOLDINGS INC.,Information Technology,New York Stock Exchange Inc.
20120430,20120531,-1,SVU,SUPERVALU INC,Consumer Staples,New York Stock Exchange Inc.
20120330,20120430,1,4XS,EXPRESS SCRIPTS HOLDING,Health Care,Deutsche Boerse Xetra
20120330,20120430,1,FOSL,FOSSIL GROUP INC.,Consumer Discretionary,NASDAQ
20120330,20120430,-1,ESRX,EXPRESS SCRIPTS INC.,Health Care,NASDAQ
20120330,20120430,-1,MHS,MEDCO HEALTH SOLUTIONS INC,Health Care,New York Stock Exchange Inc.
20120229,20120330,1,CCI,CROWN CASTLE INTERNATIONAL REIT CO,Telecommunication Services,New York Stock Exchange Inc.
20120229,20120330,-1,CEG,CONSTELLATION ENERGY GROUP INC.,Utilities,New York Stock Exchange Inc.
20111230,20120131,1,COV,COVIDIEN,Health Care,New York Stock Exchange Inc.
20111230,20120131,1,WPX,WPX ENERGY INC,Energy,New York Stock Exchange Inc.
20111230,20120131,-1,6COP,COVIDIEN,Health Care,Boerse Berlin
20111230,20120131,-1,CPWR,COMPUWARE CORP.,Information Technology,NASDAQ
20111230,20120131,-1,OSHSQ,ORCHARD SUPPLY HARDWARE STORES PRE,Consumer Discretionary,Non-Nms Quotation Service (Nnqs)
20111230,20120131,-1,OSHWQ,ORCHARD SUPPLY HARDWARE STORES COR,Consumer Discretionary,Non-Nms Quotation Service (Nnqs)
20111130,20111230,1,6COP,COVIDIEN,Health Care,Boerse Berlin
20111130,20111230,1,BWA,BORGWARNER INC,Consumer Discretionary,New York Stock Exchange Inc.
20111130,20111230,1,DLTR,DOLLAR TREE INC,Consumer Discretionary,NASDAQ
20111130,20111230,1,GAS,AGL RESOURCES INC.,Utilities,New York Stock Exchange Inc.
20111130,20111230,1,OSHSQ,ORCHARD SUPPLY HARDWARE STORES PRE,Consumer Discretionary,Non-Nms Quotation Service (Nnqs)
20111130,20111230,1,OSHWQ,ORCHARD SUPPLY HARDWARE STORES COR,Consumer Discretionary,Non-Nms Quotation Service (Nnqs)
20111130,20111230,1,PRGO,PERRIGO COMPANY,Health Care,New York Stock Exchange Inc.
20111130,20111230,1,TRIP,TRIPADVISOR INC,Consumer Discretionary,NASDAQ
20111130,20111230,-1,AKS,AK STEEL HOLDING CORP,Materials,New York Stock Exchange Inc.
20111130,20111230,-1,COV,COVIDIEN,Health Care,New York Stock Exchange Inc.
20111130,20111230,-1,GAS.2,NICOR INC,Utilities,New York Stock Exchange Inc.
20111130,20111230,-1,MWW,MONSTER WORLDWIDE INC.,Information Technology,New York Stock Exchange Inc.
20111130,20111230,-1,TLAB,TELLABS INC.,Information Technology,NASDAQ
20111130,20111230,-1,WFR,MEMC ELECTRONIC MATERIALS INC.,Information Technology,New York Stock Exchange Inc.
20111031,20111130,1,CBE,COOPER INDUSTRIES PLC CL A,Industrials,New York Stock Exchange Inc.
20111031,20111130,1,XYL,XYLEM INC,Industrials,New York Stock Exchange Inc.
20111031,20111130,-1,ITT,ITT CORP,Industrials,New York Stock Exchange Inc.
20111031,20111130,-1,JNS,JANUS CAPITAL GROUP INC,Financials,New York Stock Exchange Inc.
20110930,20111031,1,BEAM,BEAM INC,Consumer Staples,New York Stock Exchange Inc.
20110930,20111031,1,TEL,TE CONNECTIVITY LTD,Information Technology,New York Stock Exchange Inc.
20110930,20111031,-1,CEPH,CEPHALON INC,Health Care,NASDAQ
20110930,20111031,-1,FO,FORTUNE BRANDS INC,Consumer Discretionary,New York Stock Exchange Inc.
20110831,20110930,1,MOS,MOSAIC CO,Materials,Bolsa Mexicana De Valores
20110831,20110930,-1,NSM.2,NATIONAL SEMICONDUCTOR CORP,Information Technology,New York Stock Exchange Inc.
20110630,20110729,1,ACN,ACCENTURE PLC CLASS A,Information Technology,New York Stock Exchange Inc.
20110630,20110729,1,MPN,MARATHON PETROLEUM CORP,Energy,Boerse Stuttgart
20110630,20110729,-1,MI,MARSHALL & ILSLEY,Financials,New York Stock Exchange Inc.
20110630,20110729,-1,RSHCQ,RS LEGACY CORP,Consumer Discretionary,Non-Nms Quotation Service (Nnqs)
20110531,20110630,1,ANRZQ,ALPHA NATURAL RESOURCES INC,Energy,Non-Nms Quotation Service (Nnqs)
20110531,20110630,1,PLD,PROLOGIS REIT INC,Financials,New York Stock Exchange Inc.
20110531,20110630,-1,MEE,MASSEY ENERGY CO.,Energy,New York Stock Exchange Inc.
20110531,20110630,-1,SCN,PROLOGIS,Financials,New York Stock Exchange Inc.
20110429,20110531,1,C,CITIGROUP INC,Financials,New York Stock Exchange Inc.
20110429,20110531,-1,0R01,CITIGROUP INC,Financials,London Stock Exchange
20110331,20110429,1,BLK,BLACKROCK INC,Financials,New York Stock Exchange Inc.
20110331,20110429,1,CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,New York Stock Exchange Inc.
20110331,20110429,1,EW,EDWARDS LIFESCIENCES CORP,Health Care,New York Stock Exchange Inc.
20110331,20110429,-1,GENZ,GENZYME CORP.,Health Care,NASDAQ
20110331,20110429,-1,HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,New York Stock Exchange Inc.
20110331,20110429,-1,NOVL,NOVELL,Information Technology,NASDAQ
20110331,20110429,-1,QWST,QWEST COMMUNICATIONS INTERNATIONAL,Telecommunication Services,New York Stock Exchange Inc.
20110228,20110331,1,COV,COVIDIEN,Health Care,New York Stock Exchange Inc.
20110228,20110331,1,HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,New York Stock Exchange Inc.
20110228,20110331,-1,MFE,MCAFEE,Information Technology,New York Stock Exchange Inc.
20110131,20110228,1,JOY,JOY GLOBAL INC,Industrials,New York Stock Exchange Inc.
20110131,20110228,-1,AYE,ALLEGHENY ENERGY,Utilities,New York Stock Exchange Inc.
20101231,20110131,1,MMI,MOTOROLA MOBILITY HOLDINGS INC.,Information Technology,New York Stock Exchange Inc.
20101231,20110131,1,MSI,MOTOROLA SOLUTIONS INC,Information Technology,New York Stock Exchange Inc.
20101231,20110131,1,NE,NOBLE CORP.,Energy,New York Stock Exchange Inc.
20101231,20110131,-1,MDP,MEREDITH CORP,Consumer Discretionary,New York Stock Exchange Inc.
20101231,20110131,-1,MOT,MOTOROLA INC,Information Technology,New York Stock Exchange Inc.
20101231,20110131,-1,QLG,QLOGIC,Information Technology,Boerse Muenchen
20101130,20101231,1,CVC,CABLEVISION SYSTEMS CORP CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20101130,20101231,1,FFIV,F5 NETWORKS INC,Information Technology,NASDAQ
20101130,20101231,1,NFLX,NETFLIX INC,Consumer Discretionary,NASDAQ
20101130,20101231,1,NFX,NEWFIELD EXPLORATION,Energy,New York Stock Exchange Inc.
20101130,20101231,-1,EKDKQ,EASTMAN KODAK CO.,Consumer Discretionary,Non-Nms Quotation Service (Nnqs)
20101130,20101231,-1,KG,KING PHARMACEUTICALS,Health Care,New York Stock Exchange Inc.
20101130,20101231,-1,NYT,NEW YORK TIMES CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20101130,20101231,-1,ODP,OFFICE DEPOT INC,Consumer Discretionary,NASDAQ
20101029,20101130,1,IR,INGERSOLL RAND PLC,Industrials,New York Stock Exchange Inc.
20101029,20101130,-1,PTV,PACTIV CORP,Materials,New York Stock Exchange Inc.
20100730,20100831,1,TYC,TYCO INTERNATIONAL LTD,Industrials,New York Stock Exchange Inc.
20100730,20100831,-1,SII,SMITH INTERNATIONAL,Energy,New York Stock Exchange Inc.
20100630,20100730,1,QEP,QEP RESOURCES INC,Energy,New York Stock Exchange Inc.
20100630,20100730,-1,MIL.,MILLIPORE CORP,Health Care,New York Stock Exchange Inc.
20100630,20100730,-1,STR,QUESTAR CORP,Utilities,-
20100528,20100630,1,KMX,CARMAX INC,Consumer Discretionary,New York Stock Exchange Inc.
20100528,20100630,-1,XTO,XTO ENERGY INC,Energy,New York Stock Exchange Inc.
20100331,20100430,1,CERN,CERNER CORP,Health Care,NASDAQ
20100331,20100430,-1,BJS,BJ SERVICES CO,Energy,New York Stock Exchange Inc.
20100226,20100331,1,DISCA,DISCOVERY COMMUNICATIONS INC SERIE,Consumer Discretionary,NASDAQ
20100226,20100331,1,HP,HELMERICH & PAYNE INC,Energy,New York Stock Exchange Inc.
20100226,20100331,1,OKE,ONEOK INC,Utilities,New York Stock Exchange Inc.
20100226,20100331,-1,BDK,THE BLACK & DECKER CORPORATION,Consumer Discretionary,New York Stock Exchange Inc.
20100226,20100331,-1,PBG,PEPSI BOTTLING,Consumer Staples,New York Stock Exchange Inc.
20100129,20100226,1,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,New York Stock Exchange Inc.
20100129,20100226,1,URBN,URBAN OUTFITTERS INC,Consumer Discretionary,NASDAQ
20100129,20100226,-1,ACS,AFFILIATED COMPUTER SERVICES INC.,Information Technology,New York Stock Exchange Inc.
20100129,20100226,-1,BNI,BURLINGTON NORTHERN,Industrials,New York Stock Exchange Inc.
20100129,20100226,-1,RX,IMS HEALTH INC.,Health Care,New York Stock Exchange Inc.
20091231,20100129,1,NRG,NRG ENERGY INC,Utilities,New York Stock Exchange Inc.
20091231,20100129,-1,JAVA,SUN MICROSYSTEMS,Information Technology,NASDAQ
20091130,20091231,1,CLF,CLIFFS NATURAL RESOURCES INC,Materials,New York Stock Exchange Inc.
20091130,20091231,1,LDOS,SAIC INC,Information Technology,New York Stock Exchange Inc.
20091130,20091231,1,MJN,MEAD JOHNSON NUTRITION,Consumer Staples,New York Stock Exchange Inc.
20091130,20091231,1,ROP,ROPER TECHNOLOGIES INC,Industrials,New York Stock Exchange Inc.
20091130,20091231,1,ROST,ROSS STORES INC,Consumer Discretionary,NASDAQ
20091130,20091231,1,VISA,VISA INC,Information Technology,Spot Regulated Market - Bvb
20091130,20091231,-1,CIEN,CIENA CORP,Information Technology,New York Stock Exchange Inc.
20091130,20091231,-1,CVG,CONVERGYS CORP,Information Technology,New York Stock Exchange Inc.
20091130,20091231,-1,DYNIQ,DYNEGY INC.,Utilities,Non-Nms Quotation Service (Nnqs)
20091130,20091231,-1,ESV,ENSCO INTL PLC,Energy,New York Stock Exchange Inc.
20091130,20091231,-1,KBH,KB HOME,Consumer Discretionary,New York Stock Exchange Inc.
20091130,20091231,-1,MBI,MBIA INC,Financials,New York Stock Exchange Inc.
20091030,20091130,1,PCLN,THE PRICELINE GROUP INC,Consumer Discretionary,NASDAQ
20090930,20091030,1,FSLR,FIRST SOLAR INC,Industrials,NASDAQ
20090930,20091030,-1,WYE,WYETH,Health Care,New York Stock Exchange Inc.
20090831,20090930,1,ARG,AIRGAS INC,Materials,New York Stock Exchange Inc.
20090831,20090930,1,CFN,CAREFUSION CORP,Health Care,New York Stock Exchange Inc.
20090831,20090930,-1,CBE,COOPER INDUSTRIES INC.,Industrials,New York Stock Exchange Inc.
20090831,20090930,-1,MTW,MANITOWOC INC,Industrials,New York Stock Exchange Inc.
20090731,20090831,1,FMC,FMC CORP,Materials,New York Stock Exchange Inc.
20090731,20090831,-1,CTX,CENTEX CORP.,Consumer Discretionary,New York Stock Exchange Inc.
20090630,20090731,1,PWR,QUANTA SERVICES INC,Industrials,New York Stock Exchange Inc.
20090630,20090731,1,RHT,RED HAT INC,Information Technology,New York Stock Exchange Inc.
20090630,20090731,1,WDC,WESTERN DIGITAL CORP,Information Technology,NASDAQ
20090630,20090731,-1,CITGQ,CIT GROUP INC. (OLD),Financials,Non-Nms Quotation Service (Nnqs)
20090630,20090731,-1,EQ,EMBARQ CORP.,Telecommunication Services,New York Stock Exchange Inc.
20090630,20090731,-1,IR,INGERSOLL-RAND PLC,Industrials,New York Stock Exchange Inc.
20090529,20090630,1,DV,DEVRY EDUCATION GROUP INC,Consumer Discretionary,New York Stock Exchange Inc.
20090529,20090630,1,FTI,FMC TECHNOLOGIES INC,Energy,New York Stock Exchange Inc.
20090529,20090630,1,PCS,METROPCS COMMUNICATIONS INC.,Telecommunication Services,New York Stock Exchange Inc.
20090529,20090630,-1,AVNW,AVIAT NETWORKS INC,Information Technology,NASDAQ
20090529,20090630,-1,COV,COVIDIEN LTD.,Health Care,New York Stock Exchange Inc.
20090529,20090630,-1,MTLQQ,MOTORS LIQUIDATION CO,Consumer Discretionary,Non-Nms Quotation Service (Nnqs)
20090529,20090630,-1,TEL,TYCO ELECTRONICS LTD.,Information Technology,New York Stock Exchange Inc.
20090430,20090529,1,AVNW,AVIAT NETWORKS INC,Information Technology,NASDAQ
20090331,20090430,1,DNR,DENBURY RESOURCES INC,Energy,New York Stock Exchange Inc.
20090331,20090430,-1,ROH,ROHM & HAAS CO.,Materials,New York Stock Exchange Inc.
20090227,20090331,1,ES,NORTHEAST UTILITIES,Utilities,New York Stock Exchange Inc.
20090227,20090331,1,HRL,HORMEL FOODS CORP,Consumer Staples,New York Stock Exchange Inc.
20090227,20090331,1,ORLY,OREILLY AUTOMOTIVE INC.,Consumer Discretionary,NASDAQ
20090227,20090331,1,T3W1,TIME WARNER CABLE-A,Consumer Discretionary,Boerse Berlin
20090227,20090331,1,VTR,VENTAS REIT INC,Financials,New York Stock Exchange Inc.
20090227,20090331,-1,ACAS,AMERICAN CAPITAL LTD.,Financials,NASDAQ
20090227,20090331,-1,DDR,DEVELOPERS DIVERSIFIED REALTY CORP,Financials,New York Stock Exchange Inc.
20090227,20090331,-1,JNY,JONES GROUP INC,Consumer Discretionary,New York Stock Exchange Inc.
20090227,20090331,-1,NE,NOBLE CORP,Energy,New York Stock Exchange Inc.
20090227,20090331,-1,TYC,TYCO INTERNATIONAL LTD.,Industrials,New York Stock Exchange Inc.
20090130,20090227,1,DO,DIAMOND OFFSHORE DRILLING INC,Energy,New York Stock Exchange Inc.
20090130,20090227,-1,WFT,WEATHERFORD INTERNATIONAL LTD.,Energy,New York Stock Exchange Inc.
20081231,20090130,1,FLIR,FLIR SYSTEMS INC,Information Technology,NASDAQ
20081231,20090130,1,HCN,HEALTH CARE REIT INC,Financials,New York Stock Exchange Inc.
20081231,20090130,1,IRM,IRON MOUNTAIN INC,Industrials,New York Stock Exchange Inc.
20081231,20090130,1,OI,OWENS ILLINOIS INC,Materials,New York Stock Exchange Inc.
20081231,20090130,1,SCG,SCANA CORP,Utilities,New York Stock Exchange Inc.
20081231,20090130,-1,MER,MERRILL LYNCH & CO. INC.,Financials,New York Stock Exchange Inc.
20081231,20090130,-1,NCC,NATIONAL CITY CORP.,Financials,New York Stock Exchange Inc.
20081231,20090130,-1,SOV,SOVEREIGN BANCORP INC.,Financials,New York Stock Exchange Inc.
20081231,20090130,-1,UST.1,UST INC.,Consumer Staples,New York Stock Exchange Inc.
20081231,20090130,-1,WB,WACHOVIA CORP.,Financials,New York Stock Exchange Inc.
20081128,20081231,1,DNB,DUN & BRADSTREET CORP,Industrials,New York Stock Exchange Inc.
20081128,20081231,1,EQT,EQT CORP,Utilities,New York Stock Exchange Inc.
20081128,20081231,1,MFE,MCAFEE,Information Technology,New York Stock Exchange Inc.
20081128,20081231,1,RSG,REPUBLIC SERVICES INC,Industrials,New York Stock Exchange Inc.
20081128,20081231,-1,ABI,APPLIED BIOSYSTEMS INC.,Health Care,New York Stock Exchange Inc.
20081128,20081231,-1,AW,ALLIED WASTE INDUSTRIES INC.,Industrials,New York Stock Exchange Inc.
20081128,20081231,-1,BRL,BARR PHARMACEUTICALS INC.,Health Care,New York Stock Exchange Inc.
20081128,20081231,-1,FNP,FIFTH & PACIFIC CO INC,Consumer Discretionary,New York Stock Exchange Inc.
20081128,20081231,-1,RIG,TRANSOCEAN INC.,Energy,New York Stock Exchange Inc.
20081031,20081128,1,CEPH,CEPHALON INC,Health Care,NASDAQ
20081031,20081128,1,LIFE,LIFE TECHNOLOGIES CORP,Health Care,NASDAQ
20081031,20081128,1,PBCT,PEOPLES UNITED FINANCIAL INC,Financials,NASDAQ
20081031,20081128,1,SJM,JM SMUCKER,Consumer Staples,New York Stock Exchange Inc.
20081031,20081128,1,SRCL,STERICYCLE INC,Industrials,NASDAQ
20081031,20081128,1,WYNN,WYNN RESORTS LTD,Consumer Discretionary,NASDAQ
20081031,20081128,1,XRAY,DENTSPLY SIRONA INC,Health Care,NASDAQ
20081031,20081128,-1,ASH,ASHLAND GLOBAL INC,Materials,New York Stock Exchange Inc.
20081031,20081128,-1,BUD.2,ANHEUSER-BUSCH COMPANIES INC.,Consumer Staples,New York Stock Exchange Inc.
20081031,20081128,-1,GGP,GENERAL GROWTH PROPERTIES INC.,Financials,New York Stock Exchange Inc.
20081031,20081128,-1,HPC,HERCULES INC.,Materials,New York Stock Exchange Inc.
20081031,20081128,-1,TEX,TEREX CORP,Industrials,New York Stock Exchange Inc.
20081031,20081128,-1,UIS,UNISYS CORP,Information Technology,New York Stock Exchange Inc.
20080930,20081031,1,DPS,DR PEPPER SNAPPLE GROUP INC,Consumer Staples,New York Stock Exchange Inc.
20080930,20081031,1,FLS,FLOWSERVE CORP,Industrials,New York Stock Exchange Inc.
20080930,20081031,1,NDAQ,NASDAQ INC,Financials,NASDAQ
20080930,20081031,1,WEC,WEC ENERGY GROUP INC,Utilities,New York Stock Exchange Inc.
20080930,20081031,-1,DDS,DILLARDS INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20080930,20081031,-1,MTG,MGIC INVESTMENT CORP,Financials,New York Stock Exchange Inc.
20080930,20081031,-1,WAMUQ,WASHINGTON MUTUAL CORP,Financials,Non-Nms Quotation Service (Nnqs)
20080930,20081031,-1,WEN,WENDYS/ARBYS GROUP INC.,Consumer Discretionary,New York Stock Exchange Inc.
20080930,20081031,-1,WWY,WM WRIGLEY JR. CO.,Consumer Staples,New York Stock Exchange Inc.
20080829,20080930,1,APH,AMPHENOL CORP CLASS A,Information Technology,New York Stock Exchange Inc.
20080829,20080930,1,CRM,SALESFORCE.COM INC,Information Technology,New York Stock Exchange Inc.
20080829,20080930,1,FAST,FASTENAL,Industrials,NASDAQ
20080829,20080930,1,HRS,HARRIS CORP,Information Technology,New York Stock Exchange Inc.
20080829,20080930,1,PXD,PIONEER NATURAL RESOURCE,Energy,New York Stock Exchange Inc.
20080829,20080930,1,WEN,WENDYS/ARBYS GROUP INC.,Consumer Discretionary,New York Stock Exchange Inc.
20080829,20080930,-1,FMCC,FEDERAL HOME LOAN MORTGAGE CORP,Financials,Non-Nms Quotation Service (Nnqs)
20080829,20080930,-1,FNMA,FEDERAL NATIONAL MORTGAGE ASSOCIAT,Financials,Non-Nms Quotation Service (Nnqs)
20080829,20080930,-1,LEHMQ,LEHMAN BROTHERS HOLDINGS INC.,Financials,Non-Nms Quotation Service (Nnqs)
20080829,20080930,-1,SAF,SAFECO CORP,Financials,New York Stock Exchange Inc.
20080829,20080930,-1,WEN.2,WENDYS INTERNATIONAL INC.,Consumer Discretionary,New York Stock Exchange Inc.
20080731,20080829,1,CF,CF INDUSTRIES HOLDINGS INC,Materials,New York Stock Exchange Inc.
20080731,20080829,1,IVZ,INVESCO LTD,Financials,New York Stock Exchange Inc.
20080731,20080829,-1,EDS.,ELECTRONIC DATA SYSTEMS CORP.,Information Technology,New York Stock Exchange Inc.
20080731,20080829,-1,IAC,IAC INTERACTIVE,Consumer Discretionary,NASDAQ
20080630,20080731,1,AKS,AK STEEL HOLDING CORP,Materials,New York Stock Exchange Inc.
20080630,20080731,1,DVA,DAVITA INC,Health Care,New York Stock Exchange Inc.
20080630,20080731,1,MA,MASTERCARD INC CLASS A,Information Technology,New York Stock Exchange Inc.
20080630,20080731,1,SNI,SCRIPPS NETWORKS INTERACTIVE INC C,Consumer Discretionary,NASDAQ
20080630,20080731,-1,ACE,ACE LTD.,Financials,New York Stock Exchange Inc.
20080630,20080731,-1,CCU.1,CLEAR CHANNEL COMMUNICATIONS INC.,Consumer Discretionary,New York Stock Exchange Inc.
20080630,20080731,-1,CFC,COUNTRYWIDE FINANCIAL CORP.,Financials,New York Stock Exchange Inc.
20080630,20080731,-1,SSP,EW SCRIPPS CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20080530,20080630,1,COG,CABOT OIL & GAS CORP,Energy,New York Stock Exchange Inc.
20080530,20080630,1,ISRG,INTUITIVE SURGICAL INC,Health Care,NASDAQ
20080530,20080630,1,LO,LORILLARD INC,Consumer Staples,New York Stock Exchange Inc.
20080530,20080630,1,MEE,MASSEY ENERGY CO.,Energy,New York Stock Exchange Inc.
20080530,20080630,1,SWN,SOUTHWESTERN ENERGY,Energy,New York Stock Exchange Inc.
20080530,20080630,-1,ABKFQ,AMBAC FINANCIAL GROUP INC,Financials,Non-Nms Quotation Service (Nnqs)
20080530,20080630,-1,BC,BRUNSWICK CORP,Consumer Discretionary,New York Stock Exchange Inc.
20080530,20080630,-1,BSC.1,BEAR STEARNS COMPANIES,Financials,New York Stock Exchange Inc.
20080530,20080630,-1,OMX,OFFICEMAX INC.,Consumer Discretionary,New York Stock Exchange Inc.
20080530,20080630,-1,TT,TRANE INC.,Industrials,New York Stock Exchange Inc.
20080331,20080430,-1,CCTYQ,CIRCUIT CITY STORES INC,Consumer Discretionary,Non-Nms Quotation Service (Nnqs)
20080229,20080331,1,HCP,HCP REIT INC,Financials,New York Stock Exchange Inc.
20080229,20080331,1,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,New York Stock Exchange Inc.
20080229,20080331,-1,CBH,COMMERCE BANCORP NJ,Financials,New York Stock Exchange Inc.
20071231,20080131,1,CAM,CAMERON INTERNATIONAL CORP,Energy,-
20071231,20080131,1,TSS,TOTAL SYSTEM SERVICES INC,Information Technology,New York Stock Exchange Inc.
20071231,20080131,-1,HET,HARRAHS ENTERTAINMENT CORP.,Consumer Discretionary,New York Stock Exchange Inc.
20071231,20080131,-1,SNV,SYNOVUS FINANCIAL CORP,Financials,New York Stock Exchange Inc.
20071130,20071231,1,GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Consumer Discretionary,New York Stock Exchange Inc.
20071130,20071231,1,GME,GAMESTOP CORP CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20071130,20071231,1,RRC,RANGE RESOURCES CORP,Energy,New York Stock Exchange Inc.
20071130,20071231,-1,DJ,DOW JONES & COMPANY INC.,Consumer Discretionary,New York Stock Exchange Inc.
